POS_X,POS_Y,Speed
-119.263,-3.4083,5.857
-118.754,-3.28769,6.07794
-118.218,-3.15957,6.35904
-117.66,-3.0261,6.7264
-117.047,-2.87901,7.07561
-116.411,-2.72657,7.41549
-115.739,-2.58287,7.82783
-115.004,-2.47006,8.04881
-114.268,-2.40975,8.30604
-113.503,-2.39541,8.6358
-112.726,-2.40075,8.93609
-111.917,-2.39745,9.23123
-111.095,-2.39529,9.51955
-110.243,-2.37961,9.79382
-109.36,-2.35973,10.0698
-108.453,-2.34062,10.3441
-107.501,-2.31958,10.6194
-106.514,-2.29751,10.8984
-105.52,-2.27493,11.1604
-104.504,-2.25179,11.423
-103.488,-2.22852,11.6764
-102.449,-2.20477,11.9244
-101.39,-2.18049,12.1724
-100.318,-2.15596,12.4156
-99.2095,-2.1305,12.6585
-98.1169,-2.10546,12.8915
-96.9713,-2.07916,13.1292
-95.8139,-2.05256,13.2655
-94.6674,-2.02613,13.2553
-93.5399,-2.00017,13.3459
-92.3973,-1.97384,13.5987
-91.2402,-1.94718,13.843
-90.0667,-1.9201,14.0783
-88.8882,-1.89288,14.3046
-87.666,-1.86462,14.5289
-86.45,-1.83648,14.7433
-85.2233,-1.80807,14.9516
-83.927,-1.77802,15.1641
-82.6452,-1.74828,15.3672
-81.2591,-1.71609,15.5801
-79.9107,-1.68474,15.7812
-78.5766,-1.6537,15.9748
-77.2438,-1.62267,16.1636
-75.8953,-1.59124,16.3503
-74.5522,-1.55991,16.5323
-73.1831,-1.52795,16.7142
-71.7731,-1.49501,16.8979
-70.4277,-1.46353,17.0701
-69.0185,-1.43056,17.2475
-67.6307,-1.39803,17.4193
-66.175,-1.3639,17.5966
-64.7648,-1.33081,17.7659
-63.3279,-1.29706,17.9359
-61.9111,-1.26376,18.1011
-60.4836,-1.23018,18.2654
-59.054,-1.19652,18.4279
-57.609,-1.16247,18.59
-56.1582,-1.12826,18.7508
-54.6986,-1.09381,18.9106
-53.2533,-1.05967,19.0671
-51.7185,-1.02339,19.2312
-50.2152,-0.987818,19.3902
-48.7107,-0.95219,19.5475
-47.2519,-0.917618,19.6983
-45.7672,-0.882404,19.8503
-44.2848,-0.847216,20.0004
-42.8042,-0.812041,20.1489
-41.2971,-0.776206,20.2984
-39.8167,-0.740981,20.3566
-38.3644,-0.706398,20.3309
-36.8845,-0.671137,20.3915
-35.3501,-0.63456,20.5699
-33.8472,-0.598716,20.7363
-32.3112,-0.562062,20.8973
-30.8103,-0.526219,21.0469
-29.3074,-0.490301,21.1899
-27.7883,-0.453966,21.3283
-26.3066,-0.418499,21.4583
-24.7763,-0.381838,21.5879
-23.2854,-0.346094,21.7102
-21.7262,-0.308682,21.8346
-20.1785,-0.271518,21.9549
-18.6532,-0.234865,22.0708
-17.0935,-0.197359,22.1869
-15.5433,-0.160053,22.3002
-14.0109,-0.123149,22.4104
-12.4682,-0.0859705,22.5196
-10.9133,-0.0484713,22.6283
-9.36891,-0.0112012,22.7349
-7.83392,0.0258671,22.8396
-6.29567,0.0630389,22.942
-4.76155,0.094771,23.0418
-3.18814,0.124323,23.1461
-1.63506,0.151267,23.2481
-0.107876,0.174948,23.3477
1.4199,0.196277,23.4465
2.9902,0.216381,23.5473
4.53914,0.23497,23.6461
6.08601,0.252722,23.7424
7.61417,0.264899,23.8288
9.14711,0.26424,23.9232
